date,st_week,Duck_week
9/7/18,36,1
9/14/18,37,2
9/21/18,38,3
9/28/18,39,4
10/5/18,40,5
10/12/18,41,6
10/19/18,42,7
10/26/18,43,8
11/2/18,44,9
11/9/18,45,10
11/16/18,46,11
11/23/18,47,12
11/30/18,48,13
12/7/18,49,14
12/14/18,50,15
12/21/18,51,16
12/28/18,52,17
1/4/18,1,18
1/11/18,2,19
1/18/18,3,20
1/25/18,4,21
2/1/18,5,22
2/8/18,6,23
2/15/18,7,24
2/22/18,8,25
3/1/18,9,26
3/8/18,10,27
3/15/18,11,28
3/22/18,12,29
3/29/18,13,30
4/5/18,14,31
4/12/18,15,32
4/19/18,16,33
4/26/18,17,34
5/3/18,18,35
5/10/18,19,36
5/17/18,20,37
5/24/18,21,38
5/31/18,22,39
6/7/18,23,40
6/14/18,24,41
6/21/18,25,42
6/28/18,26,43
7/6/18,27,44
7/13/18,28,45
7/20/18,29,46
7/27/18,30,47
8/3/18,31,48
8/10/18,32,49
8/17/18,33,50
8/24/18,34,51
8/31/18,35,52
